4,さくらの開花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,地点名,1953,rm,1954,rm,1955,rm,1956,rm,1957,rm,1958,rm,1959,rm,1960,rm,1961,rm,1962,rm,1963,rm,1964,rm,1965,rm,1966,rm,1967,rm,1968,rm,1969,rm,1970,rm,1971,rm,1972,rm,1973,rm,1974,rm,1975,rm,1976,rm,1977,rm,1978,rm,1979,rm,1980,rm,1981,rm,1982,rm,1983,rm,1984,rm,1985,rm,1986,rm,1987,rm,1988,rm,1989,rm,1990,rm,1991,rm,1992,rm,1993,rm,1994,rm,1995,rm,1996,rm,1997,rm,1998,rm,1999,rm,2000,rm,2001,rm,2002,rm,2003,rm,2004,rm,2005,rm,2006,rm,2007,rm,2008,rm,2009,rm,2010,rm,2011,rm,2012,rm,2013,rm,2014,rm,2015,rm,2016,rm,2017,rm,2018,rm,2019,rm,2020,rm,2021,rm,2022,rm,2023,rm,2024,rm,2025,rm,2026,rm,2027,rm,2028,rm,2029,rm,2030,rm,2031,rm,2032,e,平年値,rm,最早値,rm,最早年,最晩値,rm,最晩年
401,稚内　　,521,6,517,6,517,6,512,6,518,6,523,6,503,6,519,6,511,6,510,6,512,6,516,6,518,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,6,519,6,519,6,520,6,521,6,516,6,521,6,525,6,511,6,516,6,506,6,524,6,513,6,513,7,516,7,515,7,516,7,506,7,514,7,517,7,515,7,516,7,508,7,520,7,515,7,511,7,514,7,518,7,517,7,429,7,510,7,510,7,523,7,518,7,515,7,502,7,510,7,522,7,519,7,514,7,526,7,511,7,503,7,513,7,509,7,512,7,507,7,510,7,508,7,506,7,503,7,501,7,507,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,6,429,6,2002,526,6,2013
406,留萌　　,508,6,511,6,513,6,508,6,510,6,512,6,0,0,0,0,507,6,509,6,513,6,508,6,518,6,516,6,511,6,508,6,516,6,509,6,517,6,0,0,512,6,515,6,508,6,514,6,514,6,512,6,517,6,520,6,509,6,510,6,430,6,522,6,511,6,509,7,509,7,509,7,503,7,426,7,507,7,512,7,512,7,514,7,505,7,520,7,512,7,429,7,514,7,513,7,511,7,426,7,509,7,510,7,520,7,514,7,511,7,429,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,6,2002,522,6,1984
407,旭川　　,511,6,513,6,509,6,507,6,509,6,510,6,508,6,513,6,508,6,508,6,510,6,512,6,515,6,514,6,505,6,502,6,506,6,507,6,512,6,430,6,509,6,513,6,508,6,511,6,513,6,508,6,512,6,516,6,505,6,505,6,427,6,514,6,503,6,506,6,509,6,507,6,503,6,428,6,505,6,509,6,508,6,511,6,502,6,507,6,505,6,423,6,504,6,509,6,504,6,423,6,502,6,506,6,514,7,510,7,506,7,423,7,503,7,511,7,509,7,502,7,518,7,502,7,427,7,503,7,503,7,430,7,501,7,503,6,429,6,426,6,425,6,424,6,430,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,6,423,6,2008,518,6,2013
409,網走　　,524,6,516,6,518,6,509,6,0,0,0,0,503,6,0,0,508,6,0,0,513,6,0,0,517,6,518,6,510,6,506,6,509,6,508,6,516,6,503,6,509,6,516,6,514,6,513,6,513,6,510,6,524,6,521,6,514,6,511,6,503,6,524,6,510,6,508,7,509,7,512,7,516,7,507,7,508,7,513,7,520,7,513,7,508,7,524,7,512,7,428,7,509,7,518,7,512,7,429,7,510,7,512,7,521,7,515,7,512,7,503,7,504,7,517,7,516,7,503,7,525,7,507,7,430,7,508,7,505,7,502,7,505,7,507,7,506,7,427,7,428,7,428,7,508,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,6,427,6,2022,525,6,2013
412,札幌　　,507,8,504,8,511,8,504,8,509,8,0,0,505,8,505,8,504,8,430,8,502,8,504,8,513,8,503,8,501,8,426,8,505,8,503,8,509,8,429,8,505,8,511,8,504,8,507,8,511,8,510,8,509,8,514,8,505,8,504,8,428,8,512,8,503,8,505,9,506,9,503,9,429,9,425,9,502,9,504,9,506,9,506,9,501,9,505,9,501,9,423,9,503,9,508,9,429,9,422,9,501,9,505,9,510,9,508,9,504,9,421,9,501,9,507,9,507,9,501,8,513,8,429,8,422,8,425,8,428,8,426,8,424,8,430,8,422,8,423,8,415,8,418,8,423,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,8,415,8,2023,514,8,1980
413,岩見沢　,509,8,506,8,510,8,505,8,508,8,510,8,428,8,511,8,504,8,503,8,508,8,507,8,516,8,512,8,505,8,503,8,510,8,509,8,514,8,504,8,507,8,511,8,508,8,509,8,512,8,510,8,510,8,515,8,507,6,505,6,427,6,517,6,504,6,505,7,508,7,505,7,428,7,426,7,504,7,509,7,507,7,508,7,503,7,507,7,503,7,424,7,503,7,509,7,503,7,422,7,502,7,506,7,511,7,509,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,6,2002,517,6,1984
417,帯広　　,515,6,507,6,510,6,505,6,509,6,513,6,501,6,511,6,505,6,504,6,507,6,508,6,515,6,513,6,503,6,502,6,507,6,510,6,513,6,503,6,506,6,510,6,512,6,509,6,511,6,511,6,511,6,514,6,504,6,506,6,501,6,519,6,503,6,506,6,504,6,504,6,505,6,501,6,504,6,506,6,508,6,506,6,504,6,508,6,430,6,423,6,503,6,510,6,429,6,424,6,502,6,505,6,504,6,508,6,506,6,426,6,501,6,508,6,503,6,505,6,510,6,427,6,426,6,430,6,501,6,427,6,428,6,502,6,424,6,422,6,420,6,423,6,428,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,6,420,6,2023,519,6,1984
418,釧路　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,6,512,6,518,6,522,6,515,6,524,6,525,6,528,6,524,6,522,6,517,6,512,6,530,6,518,6,516,7,517,7,518,7,518,7,510,7,511,7,517,7,516,7,513,7,514,7,528,7,519,7,514,7,519,7,517,7,518,7,510,7,522,7,516,7,522,7,518,7,516,7,515,7,510,7,519,7,518,7,517,7,523,7,512,7,506,7,510,7,514,7,512,7,509,7,510,7,508,7,508,7,501,7,503,7,507,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,6,501,6,2023,530,6,1984
420,根室　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,6,518,6,515,6,518,6,522,6,521,6,520,6,514,6,522,6,517,6,520,6,526,6,512,6,514,6,517,6,526,6,517,6,527,6,517,6,528,6,525,6,524,6,519,6,515,6,530,6,519,6,519,6,515,6,522,6,520,6,511,6,513,6,524,7,0,0,519,6,518,6,524,6,514,6,514,6,519,6,522,6,516,6,508,6,521,6,514,6,521,6,517,6,516,6,516,6,510,6,518,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,6,2002,530,6,1984
423,室蘭　　,510,8,507,8,518,8,508,8,508,8,512,8,427,8,508,8,505,8,508,8,506,8,507,8,516,8,516,8,504,8,505,8,507,8,514,8,512,8,504,8,508,8,511,8,508,8,510,8,512,8,512,8,512,8,515,8,506,8,510,8,429,8,525,8,510,8,508,9,509,9,506,9,430,9,426,9,502,9,506,9,504,9,506,9,505,9,513,9,502,9,429,9,508,9,515,9,509,9,423,9,502,9,504,9,510,9,512,9,507,9,425,9,503,9,514,9,506,9,509,9,516,9,429,9,428,9,425,9,502,9,429,9,429,9,501,9,427,9,425,9,421,9,426,9,426,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,8,421,8,2023,525,8,1984
426,浦河　　,509,6,507,6,511,6,507,6,514,6,512,6,502,6,513,6,504,6,503,6,510,6,511,6,518,6,511,6,506,6,510,6,509,6,512,6,514,6,503,6,511,6,512,6,508,6,515,6,514,6,516,6,518,6,519,6,512,6,513,6,505,6,525,6,512,6,510,7,512,7,512,7,508,7,506,7,507,7,512,7,512,7,513,7,509,7,511,7,505,7,504,7,502,7,508,7,509,7,428,7,510,7,511,7,516,7,511,7,508,7,504,7,505,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,6,2002,525,6,1984
428,江差　　,508,8,501,8,503,8,503,8,504,8,505,8,427,8,502,8,428,8,429,8,427,8,505,8,513,8,504,8,501,8,427,8,505,8,507,8,510,8,429,8,501,8,510,8,430,8,505,8,508,8,508,8,504,8,512,8,503,8,502,8,426,8,519,8,504,8,506,9,505,9,504,9,423,9,423,9,430,9,428,9,501,9,0,0,429,9,505,9,430,9,422,9,428,9,505,9,429,9,418,9,429,9,429,9,503,9,507,9,501,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,8,2002,519,8,1984
430,函館　　,502,8,503,8,508,8,503,8,508,8,504,8,426,8,504,8,430,8,503,8,503,8,505,8,514,8,507,8,503,8,502,8,505,8,506,8,511,8,429,8,502,8,509,8,501,8,509,8,508,8,508,8,507,8,512,8,503,8,507,8,427,8,523,8,504,8,505,9,504,9,502,9,423,9,422,9,428,9,428,9,427,9,430,9,430,9,504,9,427,9,422,9,427,9,503,9,428,9,418,9,428,9,426,9,501,9,507,9,430,9,422,9,425,9,505,9,502,9,502,9,508,9,428,9,421,9,424,9,427,9,425,9,424,9,426,9,420,9,421,9,414,9,418,9,423,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,8,414,8,2023,523,8,1984
433,倶知安　,512,6,511,6,519,6,513,6,515,6,516,6,502,6,517,6,509,6,508,6,507,6,509,6,520,6,517,6,509,6,510,6,510,6,517,6,0,0,507,6,511,6,514,6,510,6,516,6,514,6,514,6,517,6,519,6,510,6,511,6,501,6,522,6,511,6,511,7,513,7,514,7,505,7,506,7,509,7,510,7,512,7,514,7,508,8,519,8,509,8,428,8,509,8,512,8,508,8,425,8,504,8,507,8,514,8,515,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,8,2002,519,8,1996
435,紋別　　,0,0,0,0,0,0,505,6,511,6,519,6,501,6,515,6,506,6,509,6,509,6,513,6,518,6,519,6,506,6,507,6,506,6,509,6,516,6,505,6,511,6,514,6,522,6,510,6,512,6,508,6,521,6,520,6,511,6,512,6,501,6,525,6,510,6,506,7,506,7,511,7,515,7,506,7,507,7,511,7,517,7,511,7,507,7,527,7,507,7,429,7,512,7,521,7,513,7,428,7,508,7,511,7,521,7,516,7,515,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,6,2002,527,6,1996
440,広尾　　,0,0,0,0,0,0,0,0,0,0,509,6,429,6,509,6,502,6,505,6,506,6,511,6,517,6,515,6,502,6,502,6,505,6,512,6,512,6,505,6,505,6,512,6,513,6,508,6,511,6,510,6,521,6,517,6,507,6,509,6,501,6,528,6,510,6,509,7,505,7,507,7,507,7,503,7,504,7,510,7,513,7,508,7,505,7,513,7,502,7,426,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,6,1998,528,6,1984
520,新庄　　,0,0,0,0,0,0,0,0,0,0,423,8,415,8,423,8,422,8,423,8,420,8,417,8,506,8,422,8,423,8,421,8,422,8,429,8,423,8,413,8,420,8,428,8,422,8,425,8,426,8,428,8,422,8,429,8,427,8,423,8,418,8,506,8,425,8,426,9,421,9,426,9,414,9,413,9,417,9,419,9,421,9,420,9,420,9,427,9,424,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,8,1990,506,8,1984
575,青森　　,0,0,0,0,0,0,426,8,501,8,429,8,419,8,427,8,424,8,425,8,421,8,429,8,503,8,428,8,427,8,424,8,429,8,504,8,428,8,424,8,422,8,501,8,426,8,425,8,502,8,501,8,430,8,504,8,427,8,427,8,421,8,511,8,429,8,501,9,425,9,428,9,415,9,415,9,424,9,422,9,423,9,422,9,424,9,430,9,423,9,416,9,426,9,429,9,423,9,414,9,420,9,418,9,429,9,501,9,425,9,417,9,418,8,428,8,425,8,429,8,429,8,422,8,414,8,417,8,417,8,419,8,418,8,417,8,413,8,416,8,407,8,415,8,417,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,8,407,8,2023,511,8,1984
